Activity Type,Date,Title,Distance,Time,Avg HR,Max HR,Avg Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Geo Location
Running,10/27/2024 8:46,Venice Running,21.18,1:46:40,145,173,172,5:02,3:58,46,50,1.15,"45.46546134560524, 12.277332192880266"
Running,4/17/2024 19:59,Tel Aviv Night Run,10.02,0:53:12,140,166,159,5:19,3:42,32,35,1.17,"32.108845419261684, 34.895097056518765"
Running,4/14/2024 8:00,Limassol Running,10.07,0:54:49,145,179,156,5:27,3:00,10,7,1.15,"34.67578305766915, 33.04321699052416"
Running,9/24/2023 10:03,Paris Running,16.17,1:29:15,163,194,159,5:31,2:51,225,125,1.11,"48.85978975581477, 2.2976796306310434"
Trail Running,5/19/2023 6:45,Banana Run,12,1:15:02,152,174,147,6:15,1:40,322,311,1.08,"32.648063926578, 34.96308447020911"
Running,10/2/2022 8:30,Runnymede London,10.37,0:51:14,143,157,168,4:56,3:36,17,26,1.21,"51.48873830425911, -0.12591588991082525"
Trail Running,5/13/2022 2:18,M2V,10.02,1:38:12,112,154,111,9:48,4:05,35,12,0.91,"32.672754872942676, 35.15131726634068"
Trail Running,5/12/2022 21:36,M2V,9.03,0:57:57,145,170,153,6:25,3:23,49,117,1.02,"32.74348285408509, 35.563349349232375"
Trail Running,5/12/2022 15:30,M2V,12.12,1:11:41,160,178,153,5:55,4:15,65,140,1.11,"33.0104993633916, 35.62790438520796"
Running,9/23/2021 19:35,Barcelona,10.07,0:48:23,151,169,167,4:48,2:21,43,45,1.24,"41.400038415620685, 2.1127400967333796"
Running,11/2/2018 6:45,Haifa Run,10.02,0:50:12,148,180,161,5:00,2:44,44,49,1.24,"32.80635571603543, 34.960106872015096"
runing,28/02/2025 06:10,Tel-Aviv Marathon,21.1,01:45:41,155,180,161,5:00,3:44,30,49,1.30,"32.10062552066394, 34.807773948359824"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
